[ID];[content language];[target country];[title];[description];[condition];[price];[currency];[weight];[unit];[quantity];[expiration date];[product type];[brand];[GTIN];[MPN];[product information homepage];[product image URL]
37;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
38;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
39;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
40;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
41;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
42;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
43;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
44;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
45;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
46;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
47;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
48;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
49;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
50;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
51;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
52;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
53;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
54;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
55;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
56;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
57;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
58;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
59;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
60;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
61;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
62;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
63;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
64;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
65;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
66;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
67;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
68;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
69;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
70;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
71;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
72;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
73;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
74;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
75;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
76;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
77;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
78;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
79;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
80;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
81;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
82;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
83;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
84;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
85;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
86;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
87;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
88;de;DE;Book on Math Olympiad problems;Problems and solutions from the Austrian Mathematical Olympiad 2000 – 2008;refurbished;7.31;eur;0.8;kg;100;2011-05-05 19:48;Media > Books > Non-Fiction > Math Books;;9783940445544;;book-info-page.html;
89;en;US;Red wool sweater;Comfortable and soft, this sweater will keep you warm on those cold winter nights. Red and blue stripes.;new;13.99;usd;23;lb;4;2010-10-29 22:00;Clothing & Accessories > Clothing > Outerwear > Sweaters;Jumpers-R-Us;;;item1-info-page.html;http://my.supercool.com/homepage/item1-picture.jpg
90;en;US;Dell monitor;24" with 10 million colors;used;200;usd;23;kg;300;2010-09-20 14:38;Electronics > Video > Computer Monitors;Dell;834721479305;HSC0424PP;monitor-info-page.html;http://my.supercool.com/homepage/monitor-picture.png
91;de;DE;HP Laptop;"This notebook features a stylish understated micro-fiber pattern design in a stone gray color for a clean professional look. Powered by the AMD Turion II mobile processors, the HP 625 notebook PC helps you get the job done. With an energy-efficient 15.6" diagonal LED-backlit display, 2-megapixel webcam and integrated Wi-Fi, the HP 625 is your link to the world.";used;1000;eur;3.2;kg;1;2010-24-12 23:59;Electronics > Computers > Laptops;HP;83475892457;RJ4694;laptop-info-page.html;
